ID	ChoiceA	ChoiceB	ChoiceC	ChoiceD
1463	Whatever definition A	Participant definition B	Idea definition C	Decade definition D
1464	Practice definition A	Discussion definition B	Lot definition C	Customer definition D
1465	Include definition A	Scene definition B	Among definition C	Feel definition D
1466	Number definition A	With definition B	Think definition C	Treat definition D
1467	Child definition A	Be definition B	Down definition C	Reason definition D
1468	Cold definition A	Near definition B	Summer definition C	Even definition D
1469	Give definition A	Unit definition B	Quickly definition C	Truth definition D
1470	Growth definition A	Word definition B	Man definition C	Many definition D
1471	Social definition A	Its definition B	Debate definition C	Deal definition D
1472	Entire definition A	Senior definition B	Safe definition C	Behind definition D
1473	Career definition A	Pressure definition B	Happen definition C	Education definition D
1474	Establish definition A	Adult definition B	Politics definition C	Entire definition D
1475	Top definition A	Sell definition B	Court definition C	Line definition D
1476	Wear definition A	Scene definition B	Executive definition C	Near definition D
1477	Customer definition A	Let definition B	Speak definition C	Billion definition D
1478	Wonder definition A	Off definition B	Keep definition C	Local definition D
1479	Get definition A	Kitchen definition B	Everyone definition C	Tell definition D
1480	Visit definition A	Whatever definition B	Themselves definition C	Beautiful definition D
1481	Build definition A	Effort definition B	Place definition C	Think definition D
1482	Market definition A	Window definition B	Whether definition C	Today definition D
1483	Quite definition A	Already definition B	Ten definition C	Really definition D
1484	Believe definition A	Region definition B	Wife definition C	Citizen definition D
1485	Pull definition A	So definition B	These definition C	Job definition D
1486	Talk definition A	Eat definition B	Nation definition C	Expert definition D
1487	Power definition A	Could definition B	Good definition C	Page definition D
1488	These definition A	Easy definition B	Still definition C	Smile definition D
1489	More definition A	Catch definition B	Full definition C	Rise definition D
1490	Art definition A	Lose definition B	Month definition C	Activity definition D
1491	Modern definition A	Animal definition B	Art definition C	Morning definition D
1492	Cover definition A	Drive definition B	Plant definition C	Traditional definition D
1493	Realize definition A	Debate definition B	Evidence definition C	Support definition D
1494	Others definition A	Option definition B	Future definition C	Fly definition D
1495	Land definition A	City definition B	More definition C	Certain definition D
1496	Poor definition A	Hope definition B	Officer definition C	Story definition D
1497	Source definition A	Service definition B	Wonder definition C	Trip definition D
1498	Beautiful definition A	Up definition B	Member definition C	Once definition D
1499	Current definition A	Happy definition B	School definition C	Especially definition D
1500	Work definition A	Green definition B	Goal definition C	Meeting definition D
1501	Else definition A	Build definition B	Large definition C	Reality definition D
1502	Enter definition A	Side definition B	Suddenly definition C	Phone definition D
1503	Role definition A	City definition B	Difference definition C	Test definition D
1504	Bed definition A	New definition B	Before definition C	Charge definition D
1505	Very definition A	Last definition B	According definition C	Couple definition D
1506	Three definition A	Early definition B	Thus definition C	That definition D
1507	Opportunity definition A	Street definition B	Happy definition C	Tree definition D
1508	Wait definition A	Eight definition B	Dog definition C	Her definition D
1509	Pm definition A	Third definition B	Walk definition C	Movie definition D
1510	White definition A	Model definition B	Loss definition C	Raise definition D
1511	Through definition A	Know definition B	Catch definition C	Quality definition D
1512	Through definition A	Just definition B	Through definition C	Throughout definition D
1513	Analysis definition A	Affect definition B	Although definition C	Glass definition D
1514	Specific definition A	Grow definition B	Guess definition C	Raise definition D
1515	Because definition A	Well definition B	Would definition C	Edge definition D
1516	Big definition A	Another definition B	Onto definition C	Quite definition D
1517	Phone definition A	End definition B	Light definition C	Option definition D
1518	Evidence definition A	Training definition B	Movie definition C	Material definition D
1519	End definition A	No definition B	Possible definition C	Generation definition D
1520	Red definition A	Pull definition B	Soldier definition C	Care definition D
1521	Music definition A	Crime definition B	Break definition C	Foreign definition D
1522	Capital definition A	Study definition B	More definition C	To definition D
1523	Republican definition A	Production definition B	Successful definition C	Property definition D
1524	Teacher definition A	Simple definition B	Nothing definition C	Right definition D
1525	Occur definition A	Far definition B	Expert definition C	Specific definition D
1526	Though definition A	Quite definition B	Letter definition C	Today definition D
1527	Movie definition A	Physical definition B	Executive definition C	Those definition D
1528	Seven definition A	Explain definition B	Image definition C	Close definition D
1529	Least definition A	Her definition B	Game definition C	Source definition D
1530	Decade definition A	Fund definition B	Certain definition C	Pretty definition D
1531	Talk definition A	Who definition B	Future definition C	Affect definition D
1532	Most definition A	Such definition B	As definition C	With definition D
1533	Reach definition A	Series definition B	Door definition C	Share definition D
1534	These definition A	Become definition B	Growth definition C	Campaign definition D
1535	Baby definition A	Several definition B	Society definition C	Read definition D
1536	Foreign definition A	Particular definition B	Argue definition C	Ready definition D
1537	Against definition A	Customer definition B	Federal definition C	Fly definition D
1538	Art definition A	Anyone definition B	Entire definition C	Protect definition D
1539	Way definition A	Sit definition B	Both definition C	Name definition D
1540	Evidence definition A	Decision definition B	Animal definition C	In definition D
1541	Note definition A	Time definition B	Avoid definition C	Appear definition D
1542	Call definition A	Data definition B	Laugh definition C	But definition D
1543	Piece definition A	Ready definition B	Good definition C	Three definition D
1544	Impact definition A	Third definition B	Market definition C	Can definition D
1545	Leader definition A	Former definition B	Coach definition C	Identify definition D
1546	On definition A	Dark definition B	Blood definition C	Information definition D
1547	Avoid definition A	Peace definition B	Arm definition C	Never definition D
1548	Its definition A	Cut definition B	Large definition C	Push definition D
1549	Author definition A	What definition B	Source definition C	While definition D
1550	Director definition A	Front definition B	Attention definition C	Believe definition D
1551	Agent definition A	We definition B	Both definition C	Market definition D
1552	Magazine definition A	Them definition B	Attack definition C	Out definition D
1553	Also definition A	Entire definition B	Foreign definition C	Do definition D
1554	Push definition A	Agency definition B	Somebody definition C	From definition D
1555	Couple definition A	Federal definition B	Player definition C	Writer definition D
1556	Free definition A	Consider definition B	Close definition C	Knowledge definition D
1557	Everybody definition A	Someone definition B	Program definition C	Practice definition D
1558	Radio definition A	Case definition B	Improve definition C	Action definition D
1559	Else definition A	Past definition B	Beyond definition C	Admit definition D
1560	Development definition A	Cover definition B	Republican definition C	Build definition D
1561	Serve definition A	Serious definition B	Four definition C	Exactly definition D
1562	His definition A	Seem definition B	Member definition C	Region definition D
1563	Newspaper definition A	Cut definition B	Task definition C	However definition D
1564	Difficult definition A	Later definition B	Push definition C	Water definition D
1565	Let definition A	Up definition B	She definition C	There definition D
1566	Kid definition A	Page definition B	Reality definition C	Feeling definition D
1567	Ahead definition A	Around definition B	Those definition C	Seven definition D
1568	Bit definition A	Black definition B	Seat definition C	Section definition D
1569	Candidate definition A	After definition B	Wide definition C	Total definition D
1570	Possible definition A	Order definition B	Stand definition C	Blue definition D
1571	One definition A	Newspaper definition B	Heart definition C	Fact definition D
1572	Thing definition A	Require definition B	Campaign definition C	History definition D
1573	During definition A	Whatever definition B	Join definition C	End definition D
1574	Red definition A	Official definition B	Tough definition C	Rest definition D
1575	Bed definition A	Nor definition B	Smile definition C	Wish definition D
1576	Quality definition A	Help definition B	Reason definition C	Just definition D
1577	Student definition A	Professor definition B	Control definition C	Seat definition D
1578	Threat definition A	Couple definition B	Gun definition C	Dream definition D
1579	Interest definition A	Summer definition B	Owner definition C	Even definition D
1580	Owner definition A	Mrs definition B	Wrong definition C	Exactly definition D
1581	Near definition A	Send definition B	Should definition C	Base definition D
1582	Serious definition A	Analysis definition B	Role definition C	Hundred definition D
1583	Suggest definition A	World definition B	View definition C	Significant definition D
1584	Spring definition A	Forward definition B	Together definition C	Go definition D
1585	College definition A	Tonight definition B	Father definition C	Share definition D
1586	Lay definition A	Tell definition B	Realize definition C	Paper definition D
1587	Interesting definition A	Later definition B	Because definition C	Leg definition D
1588	Poor definition A	Medical definition B	Later definition C	Fact definition D
1589	Care definition A	Dream definition B	Sport definition C	Benefit definition D
1590	Perform definition A	Same definition B	Moment definition C	Behavior definition D
1591	Usually definition A	Grow definition B	Reveal definition C	Hold definition D
1592	Make definition A	Word definition B	Message definition C	Half definition D
1593	Draw definition A	Worry definition B	Culture definition C	Boy definition D
1594	Station definition A	See definition B	Per definition C	Ask definition D
1595	Know definition A	Glass definition B	Suggest definition C	When definition D
1596	Father definition A	Law definition B	Size definition C	Condition definition D
1597	Camera definition A	Since definition B	Sure definition C	History definition D
1598	Young definition A	Use definition B	Example definition C	Hard definition D
1599	Bill definition A	Quite definition B	Defense definition C	Politics definition D
1600	Show definition A	Ago definition B	Change definition C	Daughter definition D
1601	Would definition A	Save definition B	Late definition C	Summer definition D
1602	Structure definition A	Bring definition B	Campaign definition C	Decide definition D
1603	Less definition A	Star definition B	Job definition C	Least definition D
1604	Marriage definition A	Improve definition B	Reduce definition C	Window definition D
1605	Church definition A	Dinner definition B	Question definition C	Establish definition D
1606	History definition A	Wish definition B	South definition C	Here definition D
1607	Natural definition A	Structure definition B	Such definition C	Management definition D
1608	Management definition A	Likely definition B	Class definition C	Individual definition D
1609	Page definition A	Such definition B	Evening definition C	Would definition D
1610	Read definition A	Better definition B	Somebody definition C	Born definition D
1611	Assume definition A	Parent definition B	War definition C	Often definition D
1612	Anything definition A	Second definition B	Couple definition C	Science definition D
1613	Discuss definition A	Population definition B	Table definition C	Information definition D
1614	Much definition A	Plan definition B	Bit definition C	Health definition D
1615	Center definition A	Company definition B	Still definition C	Community definition D
1616	Hand definition A	Pay definition B	Share definition C	Reality definition D
1617	Respond definition A	Sit definition B	Clear definition C	Sort definition D
1618	Society definition A	Choose definition B	Decide definition C	Itself definition D
1619	Four definition A	Just definition B	Benefit definition C	Individual definition D
1620	Often definition A	Box definition B	Town definition C	Edge definition D
1621	Program definition A	Heart definition B	Home definition C	Become definition D
1622	Sport definition A	Now definition B	Choose definition C	Collection definition D
1623	Child definition A	Garden definition B	Prepare definition C	Always definition D
1624	Book definition A	Production definition B	Sometimes definition C	Customer definition D
1625	Action definition A	Machine definition B	Care definition C	Arm definition D
1626	Research definition A	Throughout definition B	Reveal definition C	Growth definition D
1627	Summer definition A	Before definition B	Worry definition C	Three definition D
1628	Pm definition A	Author definition B	Five definition C	Food definition D
1629	Experience definition A	Amount definition B	Involve definition C	Anything definition D
1630	Professor definition A	Should definition B	When definition C	Difference definition D
1631	Society definition A	Itself definition B	Decision definition C	Feeling definition D
1632	Want definition A	Little definition B	Never definition C	Avoid definition D
1633	Eight definition A	Health definition B	Side definition C	Week definition D
1634	Learn definition A	Congress definition B	The definition C	Anyone definition D
1635	Item definition A	Mrs definition B	Our definition C	Low definition D
1636	Expect definition A	Manage definition B	Hundred definition C	Moment definition D
1637	Picture definition A	Dark definition B	Girl definition C	During definition D
1638	Minute definition A	Middle definition B	Determine definition C	Close definition D
1639	Visit definition A	Hospital definition B	Stuff definition C	Activity definition D
1640	That definition A	Suggest definition B	Individual definition C	Top definition D
1641	Program definition A	Soldier definition B	Job definition C	Relationship definition D
1642	Get definition A	Sea definition B	Beat definition C	Professor definition D
1643	Talk definition A	Chair definition B	Past definition C	Space definition D
1644	Heavy definition A	Part definition B	Surface definition C	Many definition D
1645	Traditional definition A	Visit definition B	Draw definition C	Will definition D
1646	Poor definition A	Pattern definition B	Series definition C	Save definition D
1647	Go definition A	Kitchen definition B	Just definition C	Consumer definition D
1648	Bar definition A	Artist definition B	Everything definition C	Happy definition D
1649	His definition A	Idea definition B	Top definition C	Movie definition D
1650	Never definition A	Nature definition B	Interview definition C	Hospital definition D
1651	College definition A	Prevent definition B	Walk definition C	Forget definition D
1652	Recently definition A	Your definition B	Prepare definition C	Provide definition D
1653	Charge definition A	Provide definition B	Win definition C	She definition D
1654	Series definition A	Next definition B	When definition C	Worry definition D
1655	Similar definition A	Decision definition B	Democratic definition C	Realize definition D
1656	Total definition A	Sell definition B	Indeed definition C	Represent definition D
1657	Himself definition A	Week definition B	Raise definition C	Full definition D
1658	Everybody definition A	Population definition B	National definition C	Decade definition D
1659	Read definition A	Need definition B	Who definition C	Shake definition D
1660	Parent definition A	A definition B	Partner definition C	Local definition D
1661	Role definition A	Add definition B	Lose definition C	West definition D
1662	Team definition A	Deal definition B	Beat definition C	Film definition D
1663	Simply definition A	Like definition B	Look definition C	Action definition D
1664	Despite definition A	Cold definition B	Almost definition C	Fact definition D
1665	East definition A	Shake definition B	Owner definition C	Bring definition D
1666	Air definition A	Reason definition B	No definition C	Per definition D
1667	Fear definition A	Name definition B	Others definition C	Science definition D
1668	Cold definition A	Better definition B	Bar definition C	Federal definition D
1669	Car definition A	Store definition B	Night definition C	Water definition D
1670	Final definition A	Couple definition B	Visit definition C	Clearly definition D
1671	Sign definition A	Trip definition B	Necessary definition C	Trip definition D
1672	Type definition A	Account definition B	Short definition C	Nice definition D
1673	Game definition A	Teacher definition B	Building definition C	Reveal definition D
1674	Support definition A	Stock definition B	Hour definition C	Hour definition D
1675	Push definition A	Agree definition B	Because definition C	Opportunity definition D
1676	Onto definition A	Third definition B	Threat definition C	Inside definition D
1677	Husband definition A	Eye definition B	Various definition C	Interesting definition D
1678	Generation definition A	Claim definition B	City definition C	During definition D
1679	After definition A	Event definition B	Air definition C	Reality definition D
1680	Technology definition A	Agreement definition B	Affect definition C	Office definition D
1681	Need definition A	Population definition B	Fine definition C	Cell definition D
1682	Rock definition A	Charge definition B	Through definition C	Believe definition D
1683	Likely definition A	Dog definition B	Usually definition C	Hotel definition D
1684	Ten definition A	Study definition B	Mind definition C	Debate definition D
1685	Teach definition A	Easy definition B	Pressure definition C	Street definition D
1686	Best definition A	These definition B	Bad definition C	Group definition D
1687	House definition A	Free definition B	Call definition C	Mean definition D
1688	Fire definition A	Write definition B	Southern definition C	Detail definition D
1689	Common definition A	Thank definition B	Head definition C	Set definition D
1690	Interesting definition A	Network definition B	Civil definition C	Ago definition D
1691	Each definition A	Player definition B	Similar definition C	Finally definition D
1692	Believe definition A	Enter definition B	Old definition C	Card definition D
1693	Low definition A	Travel definition B	Also definition C	Teach definition D
1694	Account definition A	Remember definition B	Message definition C	Science definition D
1695	Smile definition A	Remain definition B	Risk definition C	First definition D
1696	American definition A	Decision definition B	Who definition C	Role definition D
1697	Than definition A	Near definition B	While definition C	The definition D
1698	Necessary definition A	Century definition B	Yard definition C	Player definition D
1699	Future definition A	Rise definition B	No definition C	Themselves definition D
1700	Individual definition A	They definition B	Short definition C	Attention definition D
1701	There definition A	Performance definition B	Activity definition C	Whose definition D
1702	Mean definition A	Site definition B	Over definition C	Claim definition D
1703	Listen definition A	Artist definition B	Nature definition C	Street definition D
1704	Manage definition A	Yourself definition B	Available definition C	Help definition D
1705	Oil definition A	Establish definition B	Sense definition C	Foreign definition D
1706	Old definition A	Quickly definition B	Voice definition C	Per definition D
1707	It definition A	Cell definition B	Conference definition C	Include definition D
1708	Teach definition A	Ground definition B	Size definition C	A definition D
1709	Soldier definition A	Save definition B	Suddenly definition C	Few definition D
1710	Learn definition A	Himself definition B	Leader definition C	Letter definition D
1711	Area definition A	Plan definition B	Loss definition C	Write definition D
1712	Place definition A	Mission definition B	Place definition C	Structure definition D
1713	Hundred definition A	Certainly definition B	Grow definition C	Budget definition D
1714	Blood definition A	Society definition B	Meeting definition C	About definition D
1715	Learn definition A	Strategy definition B	Need definition C	Trip definition D
1716	Event definition A	Majority definition B	Drive definition C	Majority definition D
1717	Hear definition A	Happy definition B	Wish definition C	Sure definition D
1718	Economy definition A	Our definition B	Thought definition C	Story definition D
1719	Offer definition A	Describe definition B	Answer definition C	Then definition D
1720	Size definition A	Town definition B	Finish definition C	Economic definition D
1721	Skill definition A	Economy definition B	Water definition C	Reduce definition D
1722	Newspaper definition A	Happy definition B	Letter definition C	Trip definition D
1723	Interest definition A	Cup definition B	Listen definition C	You definition D
1724	Your definition A	Claim definition B	Left definition C	Little definition D
1725	Draw definition A	Relate definition B	Picture definition C	Daughter definition D
1726	Meet definition A	Owner definition B	Trouble definition C	In definition D
1727	Movie definition A	Window definition B	Adult definition C	Gas definition D
1728	Actually definition A	Remain definition B	Hear definition C	Kitchen definition D
1729	Meeting definition A	Marriage definition B	Company definition C	Perhaps definition D
1730	Staff definition A	Option definition B	Every definition C	Our definition D
1731	Door definition A	Republican definition B	Every definition C	Western definition D
1732	Interest definition A	Vote definition B	Forget definition C	Cup definition D
1733	Choice definition A	Third definition B	Whole definition C	Attorney definition D
1734	Specific definition A	Coach definition B	Mind definition C	Me definition D
1735	Identify definition A	Almost definition B	Strategy definition C	Talk definition D
1736	Plant definition A	Against definition B	Mention definition C	White definition D
1737	Who definition A	Result definition B	Single definition C	Mean definition D
1738	Sell definition A	Product definition B	Never definition C	Interview definition D
1739	Able definition A	Not definition B	Today definition C	Business definition D
1740	In definition A	Smile definition B	Town definition C	Almost definition D
1741	Movie definition A	Scientist definition B	Go definition C	Worker definition D
1742	Tell definition A	Successful definition B	Another definition C	Attention definition D
1743	Bill definition A	Example definition B	Through definition C	Military definition D
1744	Policy definition A	During definition B	Must definition C	Determine definition D
1745	Bad definition A	Factor definition B	Window definition C	Sense definition D
1746	According definition A	Miss definition B	Prove definition C	Play definition D
1747	Expert definition A	Early definition B	Message definition C	Southern definition D
1748	I definition A	Statement definition B	Beautiful definition C	Information definition D
1749	Spend definition A	Walk definition B	Light definition C	Professional definition D
1750	Money definition A	Discussion definition B	Themselves definition C	Audience definition D
1751	Speech definition A	Candidate definition B	Put definition C	Mrs definition D
1752	Nation definition A	Hope definition B	Sea definition C	Parent definition D
1753	Floor definition A	Score definition B	Catch definition C	It definition D
1754	If definition A	Bar definition B	Former definition C	Discussion definition D
1755	Look definition A	When definition B	Thousand definition C	Change definition D
1756	See definition A	Oil definition B	Step definition C	Physical definition D
1757	Within definition A	Hotel definition B	Less definition C	Seat definition D
1758	Manager definition A	Design definition B	It definition C	Product definition D
1759	Line definition A	Nice definition B	Anyone definition C	Ready definition D
1760	Discussion definition A	Easy definition B	Fall definition C	Month definition D
1761	Building definition A	Onto definition B	Goal definition C	Actually definition D
1762	Feeling definition A	Good definition B	Chair definition C	Floor definition D
1763	Activity definition A	Defense definition B	Huge definition C	View definition D
1764	Total definition A	Rate definition B	Half definition C	Future definition D
1765	Gun definition A	Agency definition B	West definition C	Person definition D
1766	Thousand definition A	Always definition B	Would definition C	Authority definition D
1767	Cell definition A	Determine definition B	By definition C	Yourself definition D
1768	Keep definition A	Amount definition B	Eight definition C	Say definition D
1769	Around definition A	Though definition B	Board definition C	Bit definition D
1770	Build definition A	Individual definition B	Mother definition C	Worry definition D
1771	Make definition A	Require definition B	Drop definition C	Sound definition D
1772	Themselves definition A	Court definition B	Spend definition C	Their definition D
1773	Enter definition A	Heart definition B	Staff definition C	Discuss definition D
1774	Only definition A	President definition B	Lose definition C	Animal definition D
1775	Race definition A	Who definition B	Country definition C	Keep definition D
1776	View definition A	Nothing definition B	Owner definition C	Forward definition D
1777	Exist definition A	Far definition B	Stock definition C	Recently definition D
1778	Magazine definition A	Course definition B	Analysis definition C	Administration definition D
1779	None definition A	Decision definition B	American definition C	Ability definition D
1780	Score definition A	Article definition B	End definition C	Author definition D
1781	Must definition A	Chance definition B	Defense definition C	Manage definition D
1782	Tree definition A	Marriage definition B	Quality definition C	Growth definition D
1783	Right definition A	Significant definition B	Off definition C	Hospital definition D
1784	Letter definition A	Number definition B	Area definition C	Current definition D
1785	Speech definition A	Yard definition B	Once definition C	Include definition D
1786	Yet definition A	Far definition B	Whose definition C	Party definition D
1787	Positive definition A	Also definition B	Foot definition C	Nature definition D
1788	They definition A	Year definition B	Research definition C	Carry definition D
1789	Resource definition A	Part definition B	Administration definition C	Boy definition D
1790	Fact definition A	Cup definition B	White definition C	Term definition D
1791	Tend definition A	Stuff definition B	Eat definition C	Surface definition D
1792	Reality definition A	Fact definition B	Material definition C	Form definition D
1793	Before definition A	Board definition B	Money definition C	Star definition D
1794	Guy definition A	Item definition B	Baby definition C	Message definition D
1795	Method definition A	Often definition B	History definition C	Book definition D
1796	Current definition A	Write definition B	Since definition C	Method definition D
1797	Morning definition A	Reveal definition B	Him definition C	Evening definition D
1798	On definition A	Foreign definition B	Every definition C	Mother definition D
1799	Everyone definition A	Region definition B	Condition definition C	Start definition D
1800	Board definition A	Teacher definition B	Notice definition C	Seven definition D
1801	Imagine definition A	Character definition B	Hair definition C	Often definition D
1802	Case definition A	All definition B	How definition C	Scene definition D
1803	One definition A	Like definition B	Dream definition C	Service definition D
1804	Energy definition A	City definition B	Where definition C	Gun definition D
1805	Reason definition A	Size definition B	Trip definition C	Present definition D
1806	Though definition A	West definition B	Inside definition C	Near definition D
1807	Either definition A	Produce definition B	Left definition C	Less definition D
1808	Music definition A	Take definition B	Happy definition C	Charge definition D
1809	Focus definition A	Land definition B	Day definition C	Particularly definition D
1810	Thought definition A	System definition B	Reason definition C	Open definition D
1811	Majority definition A	Service definition B	Last definition C	Cup definition D
1812	Computer definition A	Serious definition B	Wait definition C	Dream definition D
1813	Best definition A	Attorney definition B	Hear definition C	Natural definition D
1814	Bit definition A	Population definition B	However definition C	Where definition D
1815	Artist definition A	Direction definition B	Growth definition C	If definition D
1816	Open definition A	Other definition B	Position definition C	Practice definition D
1817	Vote definition A	Particularly definition B	Media definition C	Tough definition D
1818	Myself definition A	Around definition B	Although definition C	Type definition D
1819	Deep definition A	Community definition B	Role definition C	Big definition D
1820	Cup definition A	Four definition B	Letter definition C	Save definition D
1821	Check definition A	Yourself definition B	Citizen definition C	He definition D
1822	Worker definition A	Central definition B	Once definition C	Visit definition D
1823	Home definition A	Town definition B	Must definition C	Development definition D
1824	Body definition A	Religious definition B	Attorney definition C	Mouth definition D
1825	Partner definition A	Impact definition B	Bar definition C	This definition D
1826	Actually definition A	Want definition B	Such definition C	Pm definition D
1827	Behind definition A	Necessary definition B	Behavior definition C	Between definition D
1828	Suggest definition A	Book definition B	Run definition C	But definition D
1829	Front definition A	Partner definition B	Star definition C	Technology definition D
1830	Evening definition A	Happy definition B	Board definition C	Just definition D
1831	Fund definition A	Everyone definition B	Teach definition C	On definition D
1832	Open definition A	Two definition B	Hear definition C	Edge definition D
1833	Pay definition A	Century definition B	Physical definition C	Project definition D
1834	Light definition A	None definition B	Partner definition C	Water definition D
1835	Get definition A	Commercial definition B	Key definition C	Your definition D
1836	Special definition A	Eat definition B	Live definition C	Against definition D
1837	Try definition A	Machine definition B	Step definition C	Hundred definition D
1838	Then definition A	Skin definition B	Little definition C	Likely definition D
1839	Fly definition A	Great definition B	Edge definition C	Quite definition D
1840	Worker definition A	Entire definition B	Democratic definition C	Buy definition D
1841	Small definition A	Site definition B	Produce definition C	Well definition D
1842	Author definition A	Floor definition B	Stand definition C	Space definition D
1843	Guy definition A	Bring definition B	Indicate definition C	Art definition D
1844	Nature definition A	Door definition B	As definition C	Prepare definition D
1845	Smile definition A	Kid definition B	Six definition C	While definition D
1846	Health definition A	Figure definition B	Fire definition C	Though definition D
1847	Reduce definition A	Poor definition B	Skin definition C	Ask definition D
1848	Trouble definition A	When definition B	Control definition C	Guy definition D
1849	Note definition A	Page definition B	Medical definition C	Investment definition D
1850	Too definition A	Movie definition B	High definition C	Cut definition D
1851	Feel definition A	Day definition B	Never definition C	Live definition D
1852	Price definition A	Indeed definition B	Drug definition C	Member definition D
1853	Son definition A	Occur definition B	According definition C	Protect definition D
1854	Key definition A	Become definition B	Leader definition C	Build definition D
1855	Necessary definition A	Grow definition B	Everyone definition C	Attorney definition D
1856	Laugh definition A	Season definition B	Anyone definition C	Fear definition D
1857	Upon definition A	Thought definition B	Organization definition C	Something definition D
1858	Base definition A	Pull definition B	Within definition C	Report definition D
1859	Much definition A	She definition B	Hold definition C	Address definition D
1860	Seek definition A	Participant definition B	Positive definition C	Person definition D
1861	Old definition A	Question definition B	Boy definition C	Moment definition D
1862	Change definition A	Leader definition B	Edge definition C	Much definition D
1863	Behavior definition A	Dog definition B	Table definition C	Community definition D
1864	Really definition A	Machine definition B	Go definition C	There definition D
1865	Ball definition A	Face definition B	Respond definition C	Feel definition D
1866	Factor definition A	Attorney definition B	Thus definition C	Suffer definition D
1867	Traditional definition A	Side definition B	Company definition C	Since definition D
1868	Story definition A	Usually definition B	Magazine definition C	Perhaps definition D
1869	Treat definition A	Nearly definition B	Education definition C	Subject definition D
1870	Drug definition A	Really definition B	Difficult definition C	Begin definition D
1871	Much definition A	Learn definition B	Letter definition C	Understand definition D
1872	Together definition A	Economic definition B	Major definition C	Decade definition D
1873	First definition A	Doctor definition B	Nice definition C	Practice definition D
1874	Pretty definition A	Force definition B	Laugh definition C	Key definition D
1875	Move definition A	Experience definition B	Strong definition C	Moment definition D
1876	System definition A	Way definition B	Spend definition C	Computer definition D
1877	Necessary definition A	Such definition B	Account definition C	Kitchen definition D
1878	Born definition A	Ball definition B	Executive definition C	Eat definition D
1879	Support definition A	Customer definition B	Ago definition C	Hospital definition D
1880	Respond definition A	Future definition B	Teach definition C	Paper definition D
1881	Room definition A	Suffer definition B	Turn definition C	Human definition D
1882	Work definition A	Seem definition B	Strong definition C	Force definition D
1883	Option definition A	Star definition B	Trade definition C	Ready definition D
1884	Else definition A	We definition B	Leg definition C	Name definition D
1885	Force definition A	Continue definition B	Between definition C	Glass definition D
1886	Fly definition A	Concern definition B	Interview definition C	Option definition D
1887	Generation definition A	Appear definition B	Need definition C	Age definition D
1888	South definition A	For definition B	Bag definition C	Available definition D
1889	Since definition A	Why definition B	Yourself definition C	Enough definition D
1890	Season definition A	Receive definition B	Voice definition C	Plan definition D
1891	Entire definition A	Different definition B	Without definition C	True definition D
1892	Decide definition A	Economic definition B	Language definition C	Ball definition D
1893	Owner definition A	There definition B	Sound definition C	Want definition D
1894	Approach definition A	Know definition B	Official definition C	Capital definition D
1895	Draw definition A	Soon definition B	Candidate definition C	Newspaper definition D
1896	Majority definition A	Program definition B	Before definition C	Manage definition D
1897	Sister definition A	Art definition B	But definition C	Rate definition D
1898	Reach definition A	Whether definition B	None definition C	Listen definition D
1899	Short definition A	Customer definition B	Save definition C	President definition D
1900	Policy definition A	Position definition B	Option definition C	Mouth definition D
1901	Attorney definition A	Structure definition B	Economic definition C	Writer definition D
1902	Writer definition A	Job definition B	Contain definition C	Entire definition D
1903	Report definition A	Visit definition B	Nothing definition C	Yet definition D
1904	Hospital definition A	History definition B	Your definition C	Candidate definition D
1905	Member definition A	Thought definition B	Either definition C	Interview definition D
1906	Material definition A	Difference definition B	Network definition C	Money definition D
1907	Discussion definition A	Fast definition B	Pull definition C	Arrive definition D
1908	Sit definition A	Traditional definition B	Pull definition C	Away definition D
1909	Everyone definition A	Skill definition B	Foot definition C	Fall definition D
1910	Spring definition A	Country definition B	Military definition C	Choice definition D
1911	Short definition A	Music definition B	Trial definition C	Although definition D
1912	Town definition A	Produce definition B	Standard definition C	Rate definition D
1913	Truth definition A	Share definition B	Actually definition C	Family definition D
1914	International definition A	From definition B	Determine definition C	Wonder definition D
1915	Analysis definition A	Bed definition B	Major definition C	Father definition D
1916	Firm definition A	There definition B	Forget definition C	Understand definition D
1917	Long definition A	Heavy definition B	Two definition C	Talk definition D
1918	Surface definition A	Mind definition B	Military definition C	Stage definition D
1919	Meeting definition A	Walk definition B	Race definition C	Arrive definition D
1920	Size definition A	Build definition B	Hand definition C	House definition D
1921	Region definition A	Never definition B	His definition C	Agreement definition D
1922	Sound definition A	Note definition B	Compare definition C	Story definition D
1923	Treat definition A	Develop definition B	Imagine definition C	More definition D
1924	Morning definition A	Information definition B	Property definition C	Themselves definition D
1925	Card definition A	Paper definition B	Business definition C	Process definition D
1926	Throughout definition A	Single definition B	Each definition C	Together definition D
1927	Quality definition A	Really definition B	Sister definition C	Foreign definition D
1928	Add definition A	Area definition B	Capital definition C	Concern definition D
1929	Know definition A	Plan definition B	If definition C	Dark definition D
1930	Make definition A	Wear definition B	A definition C	Sing definition D
1931	Your definition A	Life definition B	Talk definition C	Someone definition D
1932	Feel definition A	Do definition B	Include definition C	Good definition D
1933	Parent definition A	Rather definition B	Security definition C	Her definition D
1934	Book definition A	House definition B	Rich definition C	Financial definition D
1935	Later definition A	Mr definition B	Often definition C	Piece definition D
1936	Act definition A	Man definition B	Student definition C	By definition D
1937	Several definition A	Project definition B	Place definition C	Move definition D
